code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
TN550.10.1.1,TN550,10,1,1,144,20.32
TN550.10.1.2,TN550,10,1,2,144,20.25
W12-6.10.1.1,W12-6,10,1,1,144,22.16
W12-6.10.1.2,W12-6,10,1,2,144,21.97
Dm13.10.2.1,Dm13,10,2,1,144,19.08
Dm13.10.2.2,Dm13,10,2,2,144,19.08
IN12-8-3.10.2.1,IN12-8-3,10,2,1,144,20.15
IN12-8-3.10.2.2,IN12-8-3,10,2,2,144,20.08
IN12-9-6.10.2.1,IN12-9-6,10,2,1,144,17.93
IN12-9-6.10.2.2,IN12-9-6,10,2,2,144,17.87
MP249.10.2.1,MP249,10,2,1,144,20.03
MP249.10.2.2,MP249,10,2,2,144,20.05
TN270.10.2.1,TN270,10,2,1,144,19.52
TN270.10.2.2,TN270,10,2,2,144,19.29
TN280.10.2.1,TN280,10,2,1,144,20.78
TN280.10.2.2,TN280,10,2,2,144,20.15
TN550.10.2.1,TN550,10,2,1,144,17.5
TN550.10.2.2,TN550,10,2,2,144,18.09
W12-6.10.2.1,W12-6,10,2,1,144,20.6
W12-6.10.2.2,W12-6,10,2,2,144,20.6
Dm13.10.3.1,Dm13,10,3,1,144,18.03
Dm13.10.3.2,Dm13,10,3,2,144,17.97
IN12-8-3.10.3.1,IN12-8-3,10,3,1,144,20.39
IN12-8-3.10.3.2,IN12-8-3,10,3,2,144,20.24
IN12-9-6.10.3.1,IN12-9-6,10,3,1,144,17.57
IN12-9-6.10.3.2,IN12-9-6,10,3,2,144,17.71
MP249.10.3.1,MP249,10,3,1,144,19.17
MP249.10.3.2,MP249,10,3,2,144,19.05
TN270.10.3.1,TN270,10,3,1,144,19.19
TN270.10.3.2,TN270,10,3,2,144,18.56
TN280.10.3.1,TN280,10,3,1,144,17.62
TN280.10.3.2,TN280,10,3,2,144,17.72
TN550.10.3.1,TN550,10,3,1,144,18.3
TN550.10.3.2,TN550,10,3,2,144,18.3
W12-6.10.3.1,W12-6,10,3,1,144,19.6
W12-6.10.3.2,W12-6,10,3,2,144,19.03
Dm13.30.1.1,Dm13,30,1,1,144,84
Dm13.30.1.2,Dm13,30,1,2,144,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,144,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,144,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,144,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,144,84
MP249.30.1.1,MP249,30,1,1,144,84
MP249.30.1.2,MP249,30,1,2,144,84
TN270.30.1.1,TN270,30,1,1,144,84
TN270.30.1.2,TN270,30,1,2,144,84
TN280.30.1.1,TN280,30,1,1,144,84
TN280.30.1.2,TN280,30,1,2,144,84
TN550.30.1.1,TN550,30,1,1,144,84
TN550.30.1.2,TN550,30,1,2,144,84
W12-6.30.1.1,W12-6,30,1,1,144,84
W12-6.30.1.2,W12-6,30,1,2,144,84
Dm13.30.2.1,Dm13,30,2,1,144,84
Dm13.30.2.2,Dm13,30,2,2,144,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,144,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,144,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,144,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,144,84
MP249.30.2.1,MP249,30,2,1,144,84
MP249.30.2.2,MP249,30,2,2,144,84
TN270.30.2.1,TN270,30,2,1,144,84
TN270.30.2.2,TN270,30,2,2,144,84
TN280.30.2.1,TN280,30,2,1,144,84
TN280.30.2.2,TN280,30,2,2,144,84
TN550.30.2.1,TN550,30,2,1,144,84
TN550.30.2.2,TN550,30,2,2,144,84
W12-6.30.2.1,W12-6,30,2,1,144,84
W12-6.30.2.2,W12-6,30,2,2,144,84
Dm13.30.3.2,Dm13,30,3,2,144,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,144,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,144,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,144,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,144,84
MP249.30.3.1,MP249,30,3,1,144,84
MP249.30.3.2,MP249,30,3,2,144,84
TN270.30.3.1,TN270,30,3,1,144,84
TN270.30.3.2,TN270,30,3,2,144,84
TN280.30.3.1,TN280,30,3,1,144,84
TN280.30.3.2,TN280,30,3,2,144,84
TN550.30.3.1,TN550,30,3,1,144,84
TN550.30.3.2,TN550,30,3,2,144,84
W12-6.30.3.1,W12-6,30,3,1,144,84
W12-6.30.3.2,W12-6,30,3,2,144,84
Dm13.10.1.1,Dm13,10,1,1,168,20.53
Dm13.10.1.2,Dm13,10,1,2,168,20.9
IN12-8-3.10.1.1,IN12-8-3,10,1,1,168,27.59
IN12-8-3.10.1.2,IN12-8-3,10,1,2,168,26.83
IN12-9-6.10.1.1,IN12-9-6,10,1,1,168,21.81
IN12-9-6.10.1.2,IN12-9-6,10,1,2,168,21.35
MP249.10.1.1,MP249,10,1,1,168,22.6
MP249.10.1.2,MP249,10,1,2,168,22.8
TN270.10.1.1,TN270,10,1,1,168,21.6
TN270.10.1.2,TN270,10,1,2,168,21.61
TN280.10.1.1,TN280,10,1,1,168,22.54
TN280.10.1.2,TN280,10,1,2,168,21.03
TN550.10.1.1,TN550,10,1,1,168,23.58
TN550.10.1.2,TN550,10,1,2,168,22.85
W12-6.10.1.1,W12-6,10,1,1,168,26.66
W12-6.10.1.2,W12-6,10,1,2,168,25.69
Dm13.10.2.1,Dm13,10,2,1,168,21.28
Dm13.10.2.2,Dm13,10,2,2,168,21.08
IN12-8-3.10.2.1,IN12-8-3,10,2,1,168,21
IN12-8-3.10.2.2,IN12-8-3,10,2,2,168,21.83
IN12-9-6.10.2.1,IN12-9-6,10,2,1,168,20.01
IN12-9-6.10.2.2,IN12-9-6,10,2,2,168,20.01
MP249.10.2.1,MP249,10,2,1,168,22.17
MP249.10.2.2,MP249,10,2,2,168,22.93
TN270.10.2.1,TN270,10,2,1,168,22.84
TN270.10.2.2,TN270,10,2,2,168,22.55
TN280.10.2.1,TN280,10,2,1,168,22.61
TN280.10.2.2,TN280,10,2,2,168,21.36
TN550.10.2.1,TN550,10,2,1,168,20.05
TN550.10.2.2,TN550,10,2,2,168,22.11
W12-6.10.2.1,W12-6,10,2,1,168,24.7
W12-6.10.2.2,W12-6,10,2,2,168,24.7
Dm13.10.3.1,Dm13,10,3,1,168,19.09
Dm13.10.3.2,Dm13,10,3,2,168,19.34
IN12-8-3.10.3.1,IN12-8-3,10,3,1,168,22.51
IN12-8-3.10.3.2,IN12-8-3,10,3,2,168,22.44
IN12-9-6.10.3.1,IN12-9-6,10,3,1,168,20.79
IN12-9-6.10.3.2,IN12-9-6,10,3,2,168,20.78
MP249.10.3.1,MP249,10,3,1,168,20.52
MP249.10.3.2,MP249,10,3,2,168,20.62
TN270.10.3.1,TN270,10,3,1,168,21
TN270.10.3.2,TN270,10,3,2,168,21.02
TN280.10.3.1,TN280,10,3,1,168,18.96
TN280.10.3.2,TN280,10,3,2,168,18.96
TN550.10.3.1,TN550,10,3,1,168,19.8
TN550.10.3.2,TN550,10,3,2,168,19.65
W12-6.10.3.1,W12-6,10,3,1,168,23.15
W12-6.10.3.2,W12-6,10,3,2,168,22.92
Dm13.30.1.1,Dm13,30,1,1,168,84
Dm13.30.1.2,Dm13,30,1,2,168,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,168,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,168,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,168,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,168,84
MP249.30.1.1,MP249,30,1,1,168,84
MP249.30.1.2,MP249,30,1,2,168,84
TN270.30.1.1,TN270,30,1,1,168,84
TN270.30.1.2,TN270,30,1,2,168,84
TN280.30.1.1,TN280,30,1,1,168,84
TN280.30.1.2,TN280,30,1,2,168,84
TN550.30.1.1,TN550,30,1,1,168,84
TN550.30.1.2,TN550,30,1,2,168,84
W12-6.30.1.1,W12-6,30,1,1,168,84
W12-6.30.1.2,W12-6,30,1,2,168,84
Dm13.30.2.1,Dm13,30,2,1,168,84
Dm13.30.2.2,Dm13,30,2,2,168,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,168,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,168,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,168,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,168,84
MP249.30.2.1,MP249,30,2,1,168,84
MP249.30.2.2,MP249,30,2,2,168,84
TN270.30.2.1,TN270,30,2,1,168,84
TN270.30.2.2,TN270,30,2,2,168,84
TN280.30.2.1,TN280,30,2,1,168,84
TN280.30.2.2,TN280,30,2,2,168,84
TN550.30.2.1,TN550,30,2,1,168,84
TN550.30.2.2,TN550,30,2,2,168,84
W12-6.30.2.1,W12-6,30,2,1,168,84
W12-6.30.2.2,W12-6,30,2,2,168,84
Dm13.30.3.2,Dm13,30,3,2,168,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,168,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,168,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,168,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,168,84
MP249.30.3.1,MP249,30,3,1,168,84
MP249.30.3.2,MP249,30,3,2,168,84
TN270.30.3.1,TN270,30,3,1,168,84
TN270.30.3.2,TN270,30,3,2,168,84
TN280.30.3.1,TN280,30,3,1,168,84
TN280.30.3.2,TN280,30,3,2,168,84
TN550.30.3.1,TN550,30,3,1,168,84
TN550.30.3.2,TN550,30,3,2,168,84
W12-6.30.3.1,W12-6,30,3,1,168,84
W12-6.30.3.2,W12-6,30,3,2,168,84
Dm13.10.1.1,Dm13,10,1,1,240,27.59
Dm13.10.1.2,Dm13,10,1,2,240,28.37
IN12-8-3.10.1.1,IN12-8-3,10,1,1,240,32.09
IN12-8-3.10.1.2,IN12-8-3,10,1,2,240,29.77
IN12-9-6.10.1.1,IN12-9-6,10,1,1,240,29.66
IN12-9-6.10.1.2,IN12-9-6,10,1,2,240,28.21
MP249.10.1.1,MP249,10,1,1,240,29.09
MP249.10.1.2,MP249,10,1,2,240,28.73
TN270.10.1.1,TN270,10,1,1,240,20.12
TN270.10.1.2,TN270,10,1,2,240,23.8
TN280.10.1.1,TN280,10,1,1,240,25.74
TN280.10.1.2,TN280,10,1,2,240,24.1
TN550.10.1.1,TN550,10,1,1,240,32.03
TN550.10.1.2,TN550,10,1,2,240,32.03
W12-6.10.1.1,W12-6,10,1,1,240,36.24
W12-6.10.1.2,W12-6,10,1,2,240,36.34
Dm13.10.2.1,Dm13,10,2,1,240,28.52
Dm13.10.2.2,Dm13,10,2,2,240,29.56
IN12-8-3.10.2.1,IN12-8-3,10,2,1,240,23.36
IN12-8-3.10.2.2,IN12-8-3,10,2,2,240,25.59
IN12-9-6.10.2.1,IN12-9-6,10,2,1,240,22.52
IN12-9-6.10.2.2,IN12-9-6,10,2,2,240,23.1
MP249.10.2.1,MP249,10,2,1,240,27.94
MP249.10.2.2,MP249,10,2,2,240,28.79
TN270.10.2.1,TN270,10,2,1,240,24.78
TN270.10.2.2,TN270,10,2,2,240,23.6
TN280.10.2.1,TN280,10,2,1,240,26.08
TN280.10.2.2,TN280,10,2,2,240,24.8
TN550.10.2.1,TN550,10,2,1,240,29.21
TN550.10.2.2,TN550,10,2,2,240,30.85
W12-6.10.2.1,W12-6,10,2,1,240,34.04
W12-6.10.2.2,W12-6,10,2,2,240,34.15
Dm13.10.3.1,Dm13,10,3,1,240,27.03
Dm13.10.3.2,Dm13,10,3,2,240,26.5
IN12-8-3.10.3.1,IN12-8-3,10,3,1,240,29.67
IN12-8-3.10.3.2,IN12-8-3,10,3,2,240,29.38
IN12-9-6.10.3.1,IN12-9-6,10,3,1,240,25.84
IN12-9-6.10.3.2,IN12-9-6,10,3,2,240,25.84
MP249.10.3.1,MP249,10,3,1,240,24.78
MP249.10.3.2,MP249,10,3,2,240,25.5
TN270.10.3.1,TN270,10,3,1,240,22.34
TN270.10.3.2,TN270,10,3,2,240,22.15
TN280.10.3.1,TN280,10,3,1,240,22.18
TN280.10.3.2,TN280,10,3,2,240,22.22
TN550.10.3.1,TN550,10,3,1,240,27.96
TN550.10.3.2,TN550,10,3,2,240,28.13
W12-6.10.3.1,W12-6,10,3,1,240,31.07
W12-6.10.3.2,W12-6,10,3,2,240,31.07
Dm13.30.1.1,Dm13,30,1,1,240,84
Dm13.30.1.2,Dm13,30,1,2,240,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,240,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,240,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,240,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,240,84
MP249.30.1.1,MP249,30,1,1,240,84
MP249.30.1.2,MP249,30,1,2,240,84
TN270.30.1.1,TN270,30,1,1,240,84
TN270.30.1.2,TN270,30,1,2,240,84
TN280.30.1.1,TN280,30,1,1,240,84
TN280.30.1.2,TN280,30,1,2,240,84
TN550.30.1.1,TN550,30,1,1,240,84
TN550.30.1.2,TN550,30,1,2,240,84
W12-6.30.1.1,W12-6,30,1,1,240,84
W12-6.30.1.2,W12-6,30,1,2,240,84
Dm13.30.2.1,Dm13,30,2,1,240,84
Dm13.30.2.2,Dm13,30,2,2,240,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,240,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,240,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,240,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,240,84
MP249.30.2.1,MP249,30,2,1,240,84
MP249.30.2.2,MP249,30,2,2,240,84
TN270.30.2.1,TN270,30,2,1,240,84
TN270.30.2.2,TN270,30,2,2,240,84
TN280.30.2.1,TN280,30,2,1,240,84
TN280.30.2.2,TN280,30,2,2,240,84
TN550.30.2.1,TN550,30,2,1,240,84
TN550.30.2.2,TN550,30,2,2,240,84
W12-6.30.2.1,W12-6,30,2,1,240,84
W12-6.30.2.2,W12-6,30,2,2,240,84
Dm13.30.3.2,Dm13,30,3,2,240,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,240,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,240,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,240,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,240,84
MP249.30.3.1,MP249,30,3,1,240,84
MP249.30.3.2,MP249,30,3,2,240,84
TN270.30.3.1,TN270,30,3,1,240,84
TN270.30.3.2,TN270,30,3,2,240,84
TN280.30.3.1,TN280,30,3,1,240,84
TN280.30.3.2,TN280,30,3,2,240,84
TN550.30.3.1,TN550,30,3,1,240,84
TN550.30.3.2,TN550,30,3,2,240,84
W12-6.30.3.1,W12-6,30,3,1,240,84
W12-6.30.3.2,W12-6,30,3,2,240,84
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,